mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4,0.691,0.281,0.0338,0.778,0.00734,0.291,0.349
4,0.589,0.311,0.0397,0.909,0,0.145,0.438
4,0.581,0.822,0.115,0.0404,6.81E-05,0.0772,0.471
4,0.565,0.657,0.0545,0.229,0,0.214,0.604
4,0.462,0.371,0.0988,0.794,0.118,0.124,0.187
4,0.603,0.573,0.0502,0.478,0,0.0971,0.236
4,0.589,0.885,0.035,0.545,0,0.132,0.831
4,0.499,0.683,0.0334,0.703,0.00161,0.0749,0.295
4,0.385,0.464,0.0404,0.452,0,0.109,0.15
4,0.746,0.615,0.0391,0.392,0,0.0973,0.473
4,0.474,0.696,0.0273,0.00144,5.43E-06,0.638,0.227
4,0.577,0.574,0.0278,0.572,0,0.1,0.436
4,0.577,0.379,0.0374,0.909,0.000586,0.0986,0.26
4,0.567,0.369,0.0453,0.377,0,0.0939,0.179
4,0.783,0.297,0.0472,0.594,0.00107,0.0852,0.36
4,0.533,0.678,0.0256,0.663,0,0.145,0.683
4,0.519,0.551,0.177,0.287,0,0.117,0.237
4,0.607,0.713,0.03,0.56,4.98E-05,0.101,0.611
4,0.329,0.45,0.0405,0.594,0,0.13,0.284
4,0.898,0.435,0.0489,0.555,0,0.139,0.836
4,0.35,0.247,0.0391,0.826,3.18E-06,0.0948,0.226
4,0.619,0.714,0.0638,0.424,0,0.113,0.185
4,0.582,0.418,0.0288,0.794,0,0.109,0.243
4,0.0685,0.00342,0.0418,0.99,0.91,0.106,0.0581
4,0.645,0.324,0.0545,0.754,0.000727,0.103,0.493
4,0.488,0.304,0.0338,0.911,0,0.137,0.409
4,0.681,0.667,0.0345,0.0344,0.000187,0.0943,0.372
4,0.422,0.302,0.0372,0.629,7.83E-05,0.104,0.123
4,0.729,0.396,0.0359,0.796,0,0.104,0.886
4,0.566,0.541,0.0306,0.341,4.45E-06,0.102,0.31
4,0.594,0.278,0.0276,0.779,0,0.139,0.562
4,0.382,0.688,0.0401,0.464,0,0.0857,0.468
4,0.616,0.11,0.553,0.882,1.85E-05,0.114,0.33
4,0.652,0.681,0.0379,0.503,8.20E-06,0.181,0.677
4,0.575,0.767,0.0246,0.00028,0.0031,0.176,0.322
4,0.756,0.417,0.0336,0.538,0.0255,0.0999,0.276
4,0.132,0.00735,0.0494,0.953,0.864,0.103,0.0564
4,0.565,0.635,0.0491,0.305,3.71E-06,0.0996,0.404
4,0.697,0.315,0.0503,0.932,0,0.392,0.659
4,0.567,0.54,0.0406,0.736,3.17E-05,0.164,0.331
4,0.427,0.396,0.0366,0.736,0,0.11,0.306
4,0.487,0.675,0.0648,0.549,0.000115,0.428,0.722
4,0.433,0.772,0.0382,0.0498,0.0159,0.12,0.368
4,0.522,0.538,0.0275,0.705,6.52E-06,0.338,0.369
4,0.593,0.967,0.0907,0.166,2.54E-05,0.105,0.452
4,0.33,0.709,0.0312,0.0411,0,0.0896,0.222
4,0.573,0.4,0.0259,0.37,0,0.109,0.283
4,0.663,0.362,0.0351,0.832,1.78E-06,0.117,0.139
4,0.697,0.66,0.0352,0.472,0,0.243,0.301
4,0.362,0.378,0.0329,0.679,0,0.091,0.575
4,0.474,0.343,0.027,0.578,2.65E-05,0.305,0.152
4,0.597,0.351,0.0281,0.727,3.86E-05,0.319,0.243
4,0.901,0.136,0.102,0.667,0.354,0.109,0.643
4,0.371,0.268,0.0281,0.748,0.0517,0.104,0.165
4,0.294,0.0765,0.0418,0.991,0.0682,0.335,0.171
4,0.549,0.313,0.0322,0.759,0.108,0.0875,0.216
4,0.679,0.42,0.0912,0.711,0.00602,0.296,0.534
4,0.793,0.258,0.0594,0.858,0.0583,0.187,0.375
4,0.589,0.352,0.0425,0.797,1.00E-05,0.0897,0.181
4,0.697,0.336,0.0424,0.598,0.00528,0.107,0.31
4,0.521,0.277,0.0356,0.634,7.07E-05,0.103,0.13
4,0.723,0.504,0.0392,0.388,7.40E-05,0.087,0.551
4,0.714,0.376,0.0403,0.813,0.000158,0.105,0.368
4,0.491,0.12,0.0476,0.888,0,0.187,0.242
4,0.575,0.274,0.035,0.908,8.67E-05,0.146,0.214
4,0.614,0.54,0.385,0.369,0,0.0707,0.486
4,0.721,0.2,0.041,0.921,0.0159,0.0983,0.157
4,0.532,0.0657,0.0406,0.94,0.00488,0.0946,0.292
4,0.534,0.386,0.0284,0.533,0,0.0801,0.107
4,0.61,0.27,0.428,0.925,0.0155,0.321,0.468
4,0.319,0.048,0.0399,0.935,0.000606,0.111,0.178
4,0.804,0.0853,0.713,0.851,0,0.13,0.307
4,0.58,0.406,0.025,0.012,2.85E-05,0.236,0.34
4,0.668,0.419,0.0515,0.409,0.00052,0.0823,0.271
4,0.65,0.523,0.116,0.803,0.000193,0.0957,0.184
4,0.592,0.271,0.0331,0.962,0.00163,0.114,0.365
4,0.588,0.239,0.0572,0.756,0,0.229,0.349
4,0.555,0.27,0.0888,0.931,0.544,0.103,0.271
4,0.75,0.518,0.147,0.769,0.0202,0.154,0.639
4,0.622,0.471,0.0277,0.0448,0,0.0957,0.278
4,0.369,0.272,0.0364,0.866,0,0.147,0.218
4,0.44,0.04,0.0322,0.981,0.465,0.111,0.249
4,0.188,0.411,0.0484,0.174,0.153,0.0843,0.159
4,0.719,0.302,0.0591,0.852,0.186,0.0989,0.163
4,0.574,0.469,0.0254,0.534,9.21E-05,0.128,0.288
4,0.668,0.392,0.0585,0.789,0.00275,0.345,0.323
4,0.551,0.881,0.0542,0.186,0.0791,0.152,0.387
4,0.652,0.557,0.0318,0.74,0,0.124,0.483
4,0.483,0.129,0.0349,0.947,0.145,0.106,0.203
4,0.571,0.0274,0.0649,0.948,6.43E-06,0.322,0.087
4,0.823,0.277,0.0381,0.602,0.0079,0.238,0.588
4,0.701,0.254,0.0535,0.866,0,0.132,0.286
4,0.614,0.379,0.0476,0.607,0.000464,0.0986,0.201
4,0.764,0.705,0.0278,0.0371,1.94E-05,0.0943,0.672
4,0.551,0.749,0.383,0.235,0.000816,0.52,0.513
4,0.604,0.366,0.0282,0.578,0,0.133,0.13
4,0.656,0.291,0.0293,0.872,0,0.114,0.298
4,0.483,0.0394,0.0537,0.922,0.0125,0.112,0.146
4,0.669,0.208,0.0692,0.97,0.000524,0.106,0.315
4,0.686,0.494,0.0355,0.613,5.80E-05,0.402,0.7
4,0.751,0.476,0.303,0.764,0,0.418,0.394
4,0.358,0.557,0.059,0.695,0,0.0902,0.494
4,0.683,0.273,0.0285,0.324,3.79E-05,0.244,0.719
4,0.811,0.558,0.0874,0.191,1.28E-05,0.0949,0.753
4,0.509,0.0167,0.115,0.979,2.72E-05,0.387,0.229
4,0.452,0.167,0.106,0.885,5.68E-06,0.1,0.4
4,0.514,0.424,0.0282,0.918,0.849,0.126,0.416
4,0.483,0.204,0.0453,0.916,0,0.107,0.219
4,0.905,0.264,0.0925,0.314,0.000792,0.11,0.64
4,0.653,0.524,0.0502,0.112,0,0.203,0.553
4,0.44,0.317,0.0531,0.891,4.78E-06,0.141,0.268
4,0.319,0.0561,0.045,0.935,0.00384,0.388,0.082
4,0.63,0.418,0.0254,0.483,0.15,0.111,0.345
4,0.546,0.179,0.23,0.611,0.00211,0.107,0.272
4,0.746,0.251,0.259,0.782,0.00203,0.106,0.18
4,0.677,0.33,0.149,0.474,0.000871,0.064,0.336
4,0.872,0.391,0.242,0.469,4.13E-06,0.297,0.437
4,0.539,0.508,0.0288,0.727,0,0.174,0.227
4,0.568,0.238,0.0457,0.907,8.21E-06,0.135,0.563
4,0.608,0.276,0.0389,0.871,0,0.097,0.299
4,0.603,0.204,0.112,0.479,0.0714,0.642,0.71
4,0.753,0.355,0.0898,0.48,0.87,0.122,0.506
4,0.583,0.444,0.0929,0.337,0,0.587,0.602
4,0.477,0.258,0.0425,0.94,0,0.169,0.562
4,0.719,0.36,0.398,0.748,2.18E-06,0.0812,0.409
4,0.786,0.37,0.0695,0.768,0.373,0.139,0.18
4,0.429,0.431,0.0695,0.346,3.60E-05,0.104,0.165
4,0.564,0.125,0.0425,0.979,0.000772,0.111,0.2
4,0.475,0.25,0.0515,0.701,0,0.0641,0.258
4,0.757,0.318,0.034,0.695,0,0.113,0.689
4,0.494,0.101,0.0419,0.981,0.0329,0.132,0.163
4,0.811,0.266,0.0406,0.56,1.05E-06,0.0962,0.211
4,0.551,0.254,0.0619,0.69,1.23E-06,0.074,0.204
4,0.859,0.0434,0.0886,0.985,0,0.138,0.177
4,0.759,0.158,0.0397,0.884,0,0.119,0.49
4,0.794,0.32,0.173,0.853,0.134,0.112,0.241
4,0.659,0.323,0.0455,0.64,0,0.0814,0.353
4,0.659,0.295,0.0322,0.426,6.95E-05,0.0795,0.36
4,0.547,0.287,0.149,0.514,0.774,0.119,0.177
4,0.734,0.438,0.0865,0.224,0.00292,0.215,0.645
4,0.603,0.0436,0.0408,0.963,1.11E-05,0.103,0.19
4,0.702,0.616,0.326,0.686,0,0.145,0.507
4,0.597,0.595,0.226,0.563,2.06E-06,0.291,0.592
4,0.669,0.536,0.204,0.659,0,0.096,0.379
4,0.564,0.332,0.0326,0.389,1.98E-05,0.111,0.168
4,0.357,0.425,0.0333,0.584,0,0.322,0.27
4,0.906,0.254,0.106,0.84,0.00455,0.0994,0.389
4,0.531,0.487,0.22,0.911,0.00201,0.222,0.749
4,0.586,0.269,0.593,0.979,0.000524,0.813,0.649
4,0.601,0.481,0.0634,0.689,0.0033,0.109,0.484
4,0.484,0.731,0.0379,0.431,0,0.151,0.51
4,0.885,0.581,0.0378,0.427,0.000204,0.0759,0.728
4,0.674,0.89,0.0459,0.203,0,0.0819,0.737
4,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662
4,0.768,0.714,0.0401,0.352,0,0.15,0.842
4,0.707,0.681,0.0668,0.0632,5.15E-06,0.0322,0.646
4,0.704,0.797,0.0475,0.0826,0.000745,0.0546,0.825
4,0.627,0.699,0.0244,0.174,0,0.0789,0.535
4,0.552,0.702,0.157,0.117,2.06E-05,0.105,0.564
4,0.761,0.525,0.0944,0.44,6.70E-06,0.0921,0.531
4,0.81,0.636,0.0487,0.303,0,0.131,0.687
4,0.512,0.662,0.0439,0.0275,0,0.118,0.472
4,0.644,0.735,0.0391,0.0521,0.144,0.161,0.418
4,0.715,0.62,0.0484,0.417,0,0.0822,0.172
4,0.686,0.507,0.0357,0.626,7.51E-05,0.383,0.69
4,0.498,0.897,0.045,0.00136,0,0.118,0.373
4,0.783,0.592,0.0331,0.435,4.15E-06,0.347,0.726
4,0.695,0.762,0.0395,0.192,0.00244,0.0863,0.553
4,0.637,0.643,0.0519,0.13,1.80E-06,0.142,0.533
4,0.565,0.636,0.0638,0.107,9.90E-06,0.447,0.525
4,0.685,0.466,0.0304,0.794,2.06E-06,0.0915,0.353
4,0.612,0.807,0.0336,0.0495,0.0177,0.101,0.398
4,0.796,0.798,0.0317,0.034,4.19E-05,0.0952,0.942
4,0.755,0.522,0.0575,0.533,0,0.0685,0.925
4,0.669,0.742,0.0441,0.296,0,0.355,0.716
4,0.777,0.526,0.0645,0.302,0,0.105,0.389
4,0.733,0.436,0.08,0.258,0.000573,0.157,0.0976
4,0.688,0.718,0.0378,0.273,3.36E-06,0.12,0.427
4,0.696,0.809,0.05,0.252,0.000128,0.248,0.857
4,0.764,0.705,0.0278,0.0371,1.94E-05,0.0943,0.672
4,0.762,0.701,0.0286,0.235,0.000158,0.123,0.742
4,0.674,0.774,0.0892,0.0686,0.00188,0.393,0.33
4,0.81,0.6,0.0372,0.424,0.0321,0.108,0.139
4,0.801,0.806,0.0381,0.382,0.000669,0.114,0.802
4,0.551,0.55,0.0286,0.777,0,0.202,0.342
4,0.574,0.469,0.0254,0.534,9.21E-05,0.128,0.288
4,0.442,0.538,0.0451,0.717,2.95E-05,0.09,0.139
4,0.44,0.317,0.0531,0.891,4.78E-06,0.141,0.268
4,0.692,0.429,0.0345,0.708,0.00281,0.0755,0.249
4,0.515,0.593,0.0322,0.653,0.162,0.25,0.153
4,0.64,0.743,0.0379,0.269,0,0.101,0.361
4,0.508,0.43,0.0335,0.83,0.000441,0.093,0.324
4,0.346,0.5,0.0388,0.757,0,0.189,0.191
4,0.557,0.442,0.0243,0.731,1.46E-05,0.11,0.213
4,0.571,0.544,0.0299,0.453,0.00805,0.322,0.216
4,0.594,0.612,0.363,0.835,0,0.461,0.687
4,0.481,0.638,0.0276,0.153,0,0.154,0.497
4,0.733,0.71,0.0292,0.145,0.115,0.0956,0.965
4,0.6,0.688,0.201,0.159,1.29E-05,0.409,0.0793
4,0.531,0.525,0.0671,0.232,0,0.441,0.502
4,0.558,0.559,0.0959,0.371,7.49E-06,0.109,0.62
4,0.483,0.303,0.0429,0.694,0,0.115,0.139
4,0.459,0.427,0.0267,0.114,0,0.168,0.354
4,0.546,0.311,0.0288,0.818,1.65E-05,0.107,0.246
4,0.546,0.814,0.0314,0.023,0,0.0972,0.146
4,0.608,0.768,0.0475,0.0913,0,0.0629,0.809
4,0.615,0.733,0.0335,0.152,0,0.109,0.796
4,0.712,0.862,0.0378,0.0525,0,0.093,0.809
4,0.828,0.492,0.0276,0.0644,0.00428,0.128,0.789
4,0.315,0.715,0.0362,0.00125,7.97E-06,0.0942,0.497
4,0.358,0.557,0.059,0.695,0,0.0902,0.494
4,0.315,0.296,0.0315,0.771,0,0.702,0.435
4,0.868,0.347,0.0536,0.308,2.00E-05,0.11,0.659
4,0.746,0.747,0.0353,0.579,0.000197,0.124,0.668
4,0.711,0.292,0.037,0.313,0,0.131,0.194
4,0.614,0.379,0.0476,0.607,0.000464,0.0986,0.201
4,0.599,0.448,0.0232,0.163,0,0.106,0.168
4,0.781,0.445,0.0295,0.474,0,0.184,0.591
4,0.703,0.444,0.0417,0.559,0,0.0973,0.712
4,0.668,0.618,0.0457,0.106,0,0.117,0.53
4,0.635,0.841,0.0422,0.0134,0,0.0622,0.424
4,0.621,0.82,0.0367,0.332,0,0.104,0.452
4,0.773,0.758,0.0381,0.0422,0,0.305,0.925
4,0.706,0.8,0.0399,0.00584,0,0.0822,0.629
4,0.591,0.764,0.0483,0.0383,0,0.103,0.478
4,0.81,0.793,0.0403,0.0378,1.77E-06,0.072,0.863
4,0.532,0.831,0.0344,0.0797,0.00054,0.276,0.424
4,0.733,0.827,0.033,0.394,0.0252,0.136,0.722
4,0.718,0.88,0.107,0.214,3.97E-06,0.126,0.56
4,0.837,0.498,0.0486,0.508,0.00118,0.111,0.104
4,0.778,0.566,0.0311,0.672,0.000197,0.0698,0.479
4,0.729,0.836,0.0462,0.156,3.27E-05,0.336,0.288
4,0.677,0.696,0.119,0.321,0,0.42,0.464
4,0.619,0.8,0.031,0.16,0.015,0.28,0.273
4,0.773,0.819,0.118,0.428,0,0.0679,0.585
4,0.733,0.76,0.0346,0.656,2.14E-05,0.133,0.574
4,0.671,0.636,0.103,0.515,0.000411,0.172,0.262
4,0.644,0.632,0.0376,0.162,0.342,0.132,0.219
4,0.763,0.608,0.035,0.262,2.50E-05,0.12,0.393
4,0.769,0.841,0.0423,0.114,0,0.229,0.712
4,0.717,0.455,0.0276,0.0846,0,0.11,0.389
4,0.688,0.477,0.036,0.594,0,0.115,0.257
4,0.674,0.657,0.0391,0.234,3.47E-05,0.112,0.264
4,0.545,0.675,0.0279,0.00617,0.00197,0.209,0.162
4,0.429,0.661,0.0281,0.00239,0.000121,0.234,0.285
4,0.571,0.761,0.0261,0.0708,0,0.331,0.681
4,0.791,0.807,0.0604,0.00817,0.000437,0.0689,0.847
4,0.501,0.405,0.0319,0.751,0,0.105,0.446
4,0.855,0.678,0.189,0.0569,3.69E-05,0.412,0.852
4,0.654,0.704,0.0351,0.00517,0.0565,0.0714,0.799
4,0.599,0.448,0.0232,0.163,0,0.106,0.168
4,0.652,0.557,0.0318,0.74,0,0.124,0.483
4,0.475,0.124,0.0444,0.926,0,0.0972,0.19
4,0.589,0.311,0.0397,0.909,0,0.145,0.438
4,0.541,0.153,0.0303,0.882,1.66E-06,0.16,0.359
4,0.422,0.302,0.0372,0.629,7.83E-05,0.104,0.123
4,0.593,0.352,0.0284,0.695,2.22E-05,0.3,0.226
4,0.604,0.366,0.0282,0.578,0,0.133,0.13
4,0.358,0.557,0.059,0.695,0,0.0902,0.494
4,0.528,0.0688,0.0517,0.917,0,0.124,0.425
4,0.633,0.55,0.0924,0.649,0.000363,0.147,0.333
4,0.736,0.308,0.0677,0.946,0,0.186,0.361
4,0.681,0.292,0.0483,0.743,0,0.0974,0.162
4,0.519,0.625,0.0482,0.349,0,0.121,0.21
4,0.534,0.462,0.0326,0.573,5.59E-06,0.0974,0.519
4,0.656,0.436,0.0744,0.845,0,0.221,0.196
4,0.592,0.321,0.0373,0.588,0,0.156,0.231
4,0.382,0.401,0.0851,0.286,0,0.0851,0.145
4,0.512,0.695,0.0271,0.0265,0.00815,0.146,0.351
4,0.684,0.512,0.0525,0.544,0,0.097,0.466
4,0.311,0.485,0.0365,0.701,0,0.0726,0.225
4,0.672,0.52,0.0353,0.859,0,0.115,0.37
4,0.44,0.369,0.0423,0.385,0,0.145,0.531
4,0.716,0.212,0.047,0.898,0.767,0.109,0.395
4,0.374,0.0861,0.0294,0.964,0.0335,0.0892,0.143
4,0.795,0.178,0.0574,0.607,0,0.623,0.608
4,0.564,0.412,0.0274,0.554,0,0.151,0.29
4,0.609,0.582,0.0316,0.71,0.833,0.363,0.21
4,0.543,0.333,0.0272,0.824,3.87E-06,0.168,0.261
4,0.667,0.494,0.0283,0.613,0.00248,0.0589,0.411
4,0.704,0.545,0.0323,0.536,0,0.125,0.589
4,0.444,0.301,0.0334,0.886,0,0.183,0.35
4,0.847,0.33,0.218,0.845,0.202,0.31,0.56
4,0.522,0.128,0.0357,0.894,0.026,0.0941,0.124
4,0.637,0.55,0.0525,0.165,2.54E-06,0.123,0.5
4,0.703,0.179,0.0366,0.949,0,0.102,0.346
4,0.65,0.156,0.0338,0.742,0,0.126,0.243
4,0.352,0.266,0.0341,0.865,0,0.197,0.122
4,0.446,0.288,0.0323,0.874,0,0.0847,0.417
4,0.619,0.625,0.0322,0.128,2.79E-06,0.0886,0.0502
4,0.544,0.307,0.0334,0.791,0,0.11,0.335
4,0.53,0.404,0.0264,0.905,0.000198,0.0722,0.262
4,0.553,0.127,0.0351,0.951,0.896,0.105,0.135
4,0.507,0.306,0.0583,0.94,0.631,0.11,0.124
4,0.591,0.386,0.0418,0.791,2.18E-05,0.158,0.297
4,0.648,0.308,0.04,0.886,0.0774,0.124,0.198
4,0.898,0.435,0.0489,0.555,0,0.139,0.836
4,0.473,0.349,0.0361,0.619,0,0.109,0.39
4,0.599,0.465,0.0314,0.643,1.57E-06,0.149,0.0678
4,0.67,0.743,0.0393,0.237,0,0.465,0.571
4,0.681,0.341,0.0567,0.864,0,0.319,0.431
4,0.538,0.15,0.0475,0.936,0,0.105,0.55
4,0.664,0.573,0.0277,0.613,0.000363,0.0857,0.566
4,0.604,0.36,0.0253,0.868,0.0343,0.112,0.37
4,0.536,0.189,0.0301,0.831,0,0.117,0.341
4,0.479,0.545,0.0688,0.365,0,0.0963,0.244
4,0.65,0.65,0.0288,0.133,4.01E-05,0.217,0.183
4,0.615,0.483,0.0351,0.892,0,0.175,0.503
4,0.617,0.34,0.029,0.775,0,0.11,0.517
4,0.696,0.355,0.0295,0.634,0,0.121,0.527
4,0.493,0.4,0.0261,0.0425,1.47E-06,0.133,0.15
4,0.63,0.337,0.0347,0.8,0,0.12,0.231
4,0.641,0.28,0.0312,0.815,0,0.0866,0.497
4,0.69,0.319,0.0286,0.827,0,0.232,0.225
4,0.529,0.351,0.0368,0.543,0,0.0851,0.529
4,0.599,0.215,0.0799,0.84,0,0.148,0.48
4,0.509,0.228,0.0332,0.92,0,0.104,0.586
4,0.478,0.527,0.0285,0.506,0,0.292,0.541
4,0.316,0.146,0.0397,0.935,2.03E-06,0.096,0.505
4,0.733,0.291,0.0291,0.64,0.000131,0.0918,0.647
4,0.626,0.382,0.0383,0.796,0,0.188,0.508
4,0.47,0.203,0.0371,0.758,2.41E-06,0.312,0.325
4,0.622,0.221,0.0583,0.901,0,0.107,0.297
4,0.303,0.393,0.0458,0.777,0.000102,0.106,0.396
4,0.692,0.121,0.0358,0.937,0,0.0935,0.354
4,0.804,0.472,0.056,0.763,0,0.116,0.912
4,0.707,0.43,0.0306,0.786,0,0.119,0.771
4,0.641,0.3,0.0804,0.776,0.000204,0.125,0.445
4,0.441,0.391,0.0353,0.87,0,0.133,0.3
4,0.405,0.241,0.043,0.859,0,0.135,0.307
4,0.628,0.485,0.0314,0.811,0,0.113,0.484
4,0.585,0.484,0.0294,0.382,0,0.126,0.411
4,0.568,0.18,0.0284,0.758,6.17E-05,0.111,0.228
4,0.619,0.241,0.046,0.9,0,0.116,0.0719
4,0.502,0.385,0.03,0.803,0,0.0927,0.336
4,0.355,0.247,0.0368,0.917,0,0.0948,0.349
